Timestamp,Close,Predicted Change,Predicted Value,Signal,Trade Action,Trade Price,Position (BTC),Balance
2025-01-08 07:30:00,95481.51,1.1639363,96592.85334485292,Buy,Buy,95481.51,0.005236615968892825,0
2025-01-08 07:31:00,95478.46,1.1314169,96558.7179687357,Buy,,,0.005236615968892825,0
2025-01-08 07:32:00,95452.0,1.0436155,96448.15399122238,Buy,,,0.005236615968892825,0
2025-01-08 07:33:00,95560.0,0.8536003,96375.69836139679,Buy,,,0.005236615968892825,0
2025-01-08 07:34:00,95514.15,0.5109369,96002.16141607761,Buy,,,0.005236615968892825,0
2025-01-08 07:35:00,95405.1,0.27620205,95668.61644599438,Hold,,,0.005236615968892825,0
2025-01-08 07:36:00,95426.77,0.010102535,95436.40526656508,Hold,,,0.005236615968892825,0
2025-01-08 07:37:00,95388.0,0.013629295,95400.99720811844,Hold,,,0.005236615968892825,0
2025-01-08 07:38:00,95374.37,-0.14078622,95240.09607640028,Sell,Sell,95374.37,0,499.4389489650928
2025-01-08 07:39:00,95432.81,-0.16945714,95271.09337262272,Sell,,,0,499.4389489650928
