Timestamp,Close,Predicted Change,Predicted Value,Signal,Trade Action,Trade Price,Position (BTC),Balance
2025-01-08 08:11:00,95559.32,-0.058898337,95503.03430872441,Sell,,,0,500
2025-01-08 08:12:00,95654.89,0.019398926,95673.44260205627,Hold,,,0,500
2025-01-08 08:13:00,95638.18,0.40435788,96024.90054595946,Buy,Buy,95638.18,0.005228037589172023,0
2025-01-08 08:14:00,95652.96,0.48837048,96120.09528779984,Buy,,,0.005228037589172023,0
2025-01-08 08:15:00,95648.53,0.12809779,95771.05796928644,Hold,,,0.005228037589172023,0
2025-01-08 08:16:00,95677.76,0.0037086457,95681.30716579437,Hold,,,0.005228037589172023,0
2025-01-08 08:17:00,95708.89,-0.2828014,95438.22506995797,Sell,Sell,95708.89,0,500.36967453793034
2025-01-08 08:18:00,95818.17,-0.21265331,95614.41123268782,Sell,,,0,500.36967453793034
2025-01-08 08:19:00,95956.23,-0.14959742,95812.6835700953,Sell,,,0,500.36967453793034
2025-01-08 08:20:00,95877.23,-0.049449675,95829.82061455249,Hold,,,0,500.36967453793034
