Timestamp,Close,Predicted Change,Predicted Value,Signal,Trade Action,Trade Price,Position (BTC),Balance
2025-01-08 08:38:00,95988.11,0.45181614,96421.7988023746,Buy,Buy,95988.11,0.005208978487023028,0
2025-01-08 08:39:00,96005.27,0.3488474,96340.17684223295,Buy,,,0.005208978487023028,0
2025-01-08 08:40:00,96008.9,0.0019368511,96010.75411474705,Hold,,,0.005208978487023028,0
2025-01-08 08:41:00,96050.01,-0.23654576,95822.80658932327,Sell,Sell,96050.01,0,500.3224357683467
2025-01-08 08:42:00,96062.92,-0.24927038,95823.46147617101,Sell,,,0,500.3224357683467
2025-01-08 08:43:00,96095.0,-0.15989828,95941.34849607944,Sell,,,0,500.3224357683467
2025-01-08 08:44:00,96119.78,-0.09600026,96027.50574086905,Sell,,,0,500.3224357683467
2025-01-08 08:45:00,96118.93,-0.012827091,96106.60090217112,Hold,,,0,500.3224357683467
2025-01-08 08:46:00,96070.89,0.03969542,96109.02696666955,Hold,,,0,500.3224357683467
2025-01-08 08:47:00,96047.7,0.07143132,96116.30707025528,Hold,,,0,500.3224357683467
